| 模块           | 用例名称                                                                                                                                                | 用例分级 | 用例类型 | 前置条件   | 执行步骤                                                                                                                                 | 预期结果                                                                                                                  |
| -------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------- | -------- | -------- | ---------- | ---------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------- |
| 差旅H5申请列表 | 差旅H5申请列表：列表顶部显示Processing、Done、All三个切页，和一个Fliter搜索                                                                             | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页；2. 观察页面顶部是否显示切页和搜索；3. 验证切页和搜索功能展示正常。                                              | 页面顶部正确显示Processing、Done、All切页，以及一个Filter搜索功能。                                                       |
| 差旅H5申请列表 | 差旅H5申请列表：每次进入该页面，页面默认展示Processing切页，且按钮高亮                                                                                  | P2       | 功能用例 | 无         | 1. 打开差旅H5申请列表页；2. 检查默认展示页面和按钮状态；3. 验证默认切页。                                                                | 页面默认展示Processing切页，且按钮高亮显示。                                                                              |
| 差旅H5申请列表 | 差旅H5申请列表：来回切换不同的切页，页面显示正常，更新时间过长时显示loading提示                                                                         | P1       | 功能用例 | 无         | 1. 打开差旅H5申请列表页；2. 切换各切页并观察页面变化；3. 验证超过等待时间显示loading提示。                                               | 切换不同切页时页面内容显示正常，加载时间过长时有loading提示。                                                             |
| 差旅H5申请列表 | 差旅H5申请列表-搜索：显示:搜索框、时间标签、状态下拉框、货币下拉框、重置按钮、搜索按钮                                                                  | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页；2. 展开搜索功能区域；3. 验证所有搜索项和按钮正确显示。                                                          | 搜索功能区正确显示搜索框、时间标签、状态下拉框、货币下拉框、重置按钮和搜索按钮。                                          |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-搜索框：文本框默认提示语为“Request No./Request Name/Traveler”                                                                       | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 定位搜索框；3. 检查默认提示语。                                                                            | 文本框默认提示语显示为“Request No./Request Name/Traveler”。                                                               |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-搜索框：输入中英文、特殊符号，正常回显                                                                                              | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 定位搜索框，输入中英文和特殊字符；3. 检查输入内容回显。                                                    | 输入的中英文、特殊符号在搜索框中正常回显。                                                                                |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-搜索框：可输入长度为50，超出自动截取                                                                                                | P1       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 定位搜索框，输入超过50个字符的内容；3. 检查输入内容截取情况。                                              | 超过50个字符的内容自动截取显示前50个字符。                                                                                |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-时间标签：今年、本月、前三个月、近半年四个标签                                                                                      | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 定位时间标签；3. 检查显示的标签内容。                                                                      | 显示今年、本月、前三个月、近半年四个标签。                                                                                |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-时间标签：默认选中今年标签，高亮显示                                                                                                | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 检查时间标签默认选中状态；3. 验证是否高亮显示。                                                            | 默认选中“今年”标签，并高亮显示。                                                                                          |
| 差旅H5申请列表 | 差旅H5申请列表-搜索-时间标签：选中的标签能够取消选中                                                                                                    | P2       | 功能用例 | 无         | 1. 进入差旅H5申请列表页面；2. 点击已选中的时间标签；3. 验证是否取消选中。                                                                | 能够成功取消选中已选择的时间标签。                                                                                        |
